tourism=guest_house;category:accomodation
tourism=hostel;category:accomodation
tourism=hotel;category:accomodation
tourism=information;category:attraction
tourism=motel;category:accomodation
tourism=museum;category:attraction
tourism=theme_park;category:attraction
tourism=viewpoint;category:attraction
tourism=wilderness_hut;category:attraction
tourism=zoo;category:attraction
water=river;category:water
water=oxbow;category:water
water=canal;category:water
water=ditch;category:water
water=lock;category:water
water=fish_pass;category:water
water=lake;category:water
water=reservoir;category:water
water=pond;category:water
water=basin;category:water
water=lagoon;category:water
water=sream_pool;category:water
water=reflecting_pool;category:water
water=moat;category:water
water=wastewater;category:water
waterway=riiver;category:water
waterway=riverbank;category:water
waterway=stream;category:water
waterway=tidal_channel;category:water
waterway=canal;category:water
waterway=drain;category:water
waterway=ditch;category:water
waterway=fairway;category:water
waterway=waterfall;category:water
waterway=fuel;category:water
