,experiment_num,MUITAS summ1 (mean),MUITAS summ2 (mean)
112,083,1.0,0.7331433081262867
48,084,1.0,0.8916309311431743
121,085,1.0,0.47712432110157743
84,086,1.0,0.7067714452901794
133,087,1.0,0.47773507727005726
4,088,1.0,0.47712432110157743
65,089,1.0,0.47712432110157743
6,090,1.0,0.47712432110157743
138,091,1.0,0.47890179370152747
19,092,1.0,0.4787755545970527
67,093,1.0,0.7051064792560963
1,094,1.0,0.4805253060523052
60,095,1.0,0.4787755545970527
13,096,1.0,0.4787755545970527
115,097,1.0,0.4787755545970527
164,098,1.0,0.48145175587271877
49,099,1.0,0.4792176808554162
2,100,1.0,0.6656228971360849
20,101,1.0,0.48661375818432673
74,102,1.0,0.4800528034979982
69,103,1.0,0.48015760107613403
79,104,1.0,0.47877900607387336
83,105,1.0,0.48968258908277223
163,106,1.0,0.48256395592947327
17,107,1.0,0.664896122996291
113,108,1.0,0.4900116528788567
55,109,1.0,0.4915912990362662
76,110,1.0,0.4908206625397831
118,111,1.0,0.48423540336217163
16,112,1.0,0.49284021904637276
45,113,1.0,0.48188154875133865
42,114,1.0,0.7945889155958892
145,115,1.0,0.5278305299578306
68,116,1.0,0.48041108837005414
166,117,1.0,0.48200776043051435
40,118,1.0,0.4802971558536302
27,119,1.0,0.5278590091813467
63,120,1.0,0.48379012369706675
70,121,1.0,0.7737487425240827
39,122,1.0,0.5271256190760106
85,123,1.0,0.483237247556669
107,124,1.0,0.4828608305350662
124,125,1.0,0.48291736565494814
5,126,1.0,0.5214041920286234
147,127,1.0,0.4843451785667735
37,128,1.0,0.7706052752449936
135,129,1.0,0.5345593173072367
41,130,1.0,0.4924227687067735
52,131,1.0,0.49039420031030295
100,132,1.0,0.48927030013846273
136,133,1.0,0.5140419263466991
59,134,1.0,0.49804994485942267
160,135,1.0,0.7600648829415014
86,136,1.0,0.5369401516649649
77,137,1.0,0.4984888896014933
53,138,1.0,0.49846722849917485
62,139,1.0,0.4985653312198462
116,140,1.0,0.5139733275020134
146,141,1.0,0.6277117370586035
105,142,1.0,0.9470428269312984
75,143,1.0,0.5818408528670214
126,144,1.0,0.546646190446688
88,145,1.0,0.6335538028608486
92,146,1.0,0.5458342008892898
101,147,1.0,0.6202862147254921
31,148,1.0,0.5383400829335596
0,149,1.0,0.9395418513460361
111,150,1.0,0.5821909658161322
30,151,1.0,0.5009244930705937
18,152,1.0,0.5212014122941697
24,153,1.0,0.506303505936256
51,154,1.0,0.6147057825804917
14,155,1.0,0.507592468334113
23,156,1.0,0.9391902813099288
35,157,1.0,0.5809726441093147
120,158,1.0,0.498066842300108
99,159,1.0,0.5049602096151641
149,160,1.0,0.4997112211947827
22,161,1.0,0.6088489372272498
78,162,1.0,0.5070919351661101
12,163,1.0,0.940476368948768
98,164,1.0,0.5790725226923121
58,165,1.0,0.49813035033398334
25,166,1.0,0.5042617088650257
131,167,1.0,0.4997634812018047
137,168,1.0,0.6007237046303634
