index,experiment_num,sem_mean,sem_median,sem_std,summ1_mean,summ1_median,summ1_std,summ2_mean,summ2_median,summ2_std
47,032,21.819688109161792,17.0,14.456061381922403,10.45906432748538,9.0,5.38138626103423,3.8421052631578947,3.0,2.144561239150261
143,033,21.819688109161792,17.0,14.456061381922403,10.433723196881092,9.0,5.380499413797034,3.54775828460039,3.0,2.0276393058460807
157,034,21.291910331384017,17.0,14.517498070432545,10.274366471734893,9.0,5.366460103288013,4.812865497076023,4.0,2.2448967372108086
130,035,21.480019493177387,17.0,14.520823172487184,8.060916179337232,8.0,3.9373064394134145,2.33187134502924,2.0,1.2617068790635557
82,036,21.269005847953217,17.0,14.528901722490563,10.229044834307992,9.0,5.345879220084064,6.578947368421052,6.0,2.8962399779550916
11,037,21.4093567251462,17.0,14.485052406644783,4.499025341130604,4.0,2.186902866962354,1.8698830409356726,2.0,1.030083515411488
44,038,16.4715,13.0,13.682499521161086,5.1405,5.0,2.666517374301868,2.765,3.0,1.1231231913069135
127,039,21.819688109161792,17.0,14.456061381922403,10.45906432748538,9.0,5.38138626103423,5.673489278752436,5.0,2.677282019798601
102,040,21.819688109161792,17.0,14.456061381922403,10.433723196881092,9.0,5.380499413797034,5.307017543859649,5.0,2.5913424237219576
161,041,21.291910331384017,17.0,14.517498070432545,10.274366471734893,9.0,5.366460103288013,6.769980506822612,6.0,2.943928359831589
38,042,21.480019493177387,17.0,14.520823172487184,8.060916179337232,8.0,3.9373064394134145,2.9541910331384016,3.0,1.4401253326455494
134,043,21.269005847953217,17.0,14.528901722490563,10.229044834307992,9.0,5.345879220084064,8.943469785575049,8.0,4.240424581508448
64,044,21.4093567251462,17.0,14.485052406644783,4.499025341130604,4.0,2.186902866962354,2.793372319688109,2.0,1.5723088054797802
80,045,16.4715,13.0,13.682499521161086,5.1405,5.0,2.666517374301868,3.808,4.0,1.6907292162381653
43,046,21.819688109161792,17.0,14.456061381922403,10.45906432748538,9.0,5.38138626103423,8.548245614035087,8.0,3.9004071399961657
