,experiment_num,summarization_rate1,summarization_rate2
96,063,0.9676639244503706,0.9794176220082098
8,064,0.9514626058419131,0.9658161707590295
155,065,0.9827013085347575,0.9866264446803646
122,066,0.9857817194076065,0.989880962787233
148,067,0.9405635406869309,0.9599584031822144
97,068,0.9436020366780149,0.9619150786965994
10,069,0.947599884861794,0.964282394387343
33,070,0.9676639244503706,0.9783374897641657
159,071,0.9514626058419131,0.9593548766926109
110,072,0.9827013085347575,0.9828991467593252
144,073,0.9857817194076065,0.9868567820327463
151,074,0.9405635406869309,0.9505714935301692
103,075,0.9436020366780149,0.9528378376935823
29,076,0.947599884861794,0.9559816774125997
54,077,0.9676639244503706,0.971406373699963
153,078,0.9514626058419131,0.9522908053724455
114,079,0.9827013085347575,0.9827013085347575
3,080,0.9857817194076065,0.9857826173622455
26,081,0.9405635406869309,0.9418116841114333
125,082,0.9436020366780149,0.9444748989033358
112,083,0.947599884861794,0.948707014106123
48,084,0.9676639244503706,0.9676668437210131
121,085,0.9882627546999265,0.9926580437681787
84,086,0.9882937675432316,0.992076497191483
133,087,0.9879063927133769,0.992095980654347
4,088,0.9878736414884111,0.9926557497766407
65,089,0.9878736414884111,0.9926580437681787
6,090,0.9878736414884111,0.9926580437681787
138,091,0.9878736414884111,0.9922069754884906
19,092,0.9882627546999265,0.9926237792618682
67,093,0.9882937675432316,0.9905382747832271
1,094,0.9879063927133769,0.9919515033429692
60,095,0.9878736414884111,0.9925492225489226
13,096,0.9878736414884111,0.9926188452390606
115,097,0.9878736414884111,0.9926248235523145
164,098,0.9878736414884111,0.9916431233162069
49,099,0.9882627546999265,0.9922875718287621
2,100,0.9882937675432316,0.9891230408768074
20,101,0.9879063927133769,0.9904663680033806
74,102,0.9878736414884111,0.9917999902478932
69,103,0.9878736414884111,0.9918469615680009
79,104,0.9878736414884111,0.9920658985621186
83,105,0.9878736414884111,0.9891941405151589
163,106,0.9882627546999265,0.9915572488511171
17,107,0.9882937675432316,0.9884321226618764
113,108,0.9879063927133769,0.9885486163063792
55,109,0.9878736414884111,0.9894940511379903
76,110,0.9878736414884111,0.9898179930551222
118,111,0.9878736414884111,0.9908717445907338
16,112,0.9878736414884111,0.9879848758627338
45,113,0.9762199778483082,0.9920711219837584
42,114,0.9771761171159118,0.9882949610055297
145,115,0.979887220551798,0.9913281396743909
68,116,0.9762199778483082,0.9918524344944638
166,117,0.9762199778483082,0.991978092091888
40,118,0.9762199778483082,0.9918677159338977
27,119,0.9762768211793386,0.9901705838050007
63,120,0.9762199778483082,0.9908409782428765
