,experiment_num,sem_mean,sem_median,sem_std,summ1_mean,summ1_median,summ1_std,summ2_mean,summ2_median,summ2_std
21,055,37.57017543859649,17.0,45.56203555906352,25.140350877192983,13.0,27.305839745243443,23.55889724310777,13.0,24.671409749105308
15,056,33.65244667503137,15.0,39.78277587022975,12.523212045169386,9.0,10.406488395471397,12.440401505646173,9.0,10.314551551470254
94,057,34.76893939393939,15.0,43.46585209381707,18.27777777777778,12.0,18.074186525816973,8.295454545454545,7.0,6.11446479194945
95,058,18.533333333333335,10.0,20.351220763481752,3.996153846153846,3.0,2.9320478023383245,2.517948717948718,2.0,1.5579308543029473
7,059,19.311653116531165,10.0,23.65675854683563,4.0013550135501355,3.0,2.5939598572111446,2.2086720867208673,2.0,1.1923913572196128
140,060,36.852130325814535,16.0,44.851414407763905,24.55639097744361,14.0,25.879291324444665,9.764411027568922,8.0,7.45102868389052
158,061,36.454887218045116,16.0,44.42703512911565,22.155388471177943,14.0,22.602137667458308,9.219298245614034,8.0,6.780907472961134
61,062,35.833333333333336,15.0,44.396928174736566,21.09090909090909,13.0,21.60434516818226,8.848484848484848,7.0,6.776159048912183
96,063,27.588383838383837,14.0,32.05620485093958,9.784090909090908,7.0,7.836999311707244,4.710858585858586,4.0,3.0699363179733306
8,064,34.76893939393939,15.0,43.46585209381707,18.27777777777778,12.0,18.074186525816973,9.981060606060606,8.0,7.953302068419017
155,065,18.533333333333335,10.0,20.351220763481752,3.996153846153846,3.0,2.9320478023383245,2.541025641025641,2.0,1.6299850678916212
122,066,19.311653116531165,10.0,23.65675854683563,4.0013550135501355,3.0,2.5939598572111446,2.3875338753387534,2.0,1.4262347654023235
148,067,36.852130325814535,16.0,44.851414407763905,24.55639097744361,14.0,25.879291324444665,12.661654135338345,9.0,10.77013428386683
97,068,36.454887218045116,16.0,44.42703512911565,22.155388471177943,14.0,22.602137667458308,11.888471177944862,10.0,9.724374292272339
10,069,35.833333333333336,15.0,44.396928174736566,21.09090909090909,13.0,21.60434516818226,11.029040404040405,8.0,9.200830781396737
33,070,27.588383838383837,14.0,32.05620485093958,9.784090909090908,7.0,7.836999311707244,5.305555555555555,4.0,3.792009623607471
159,071,34.76893939393939,15.0,43.46585209381707,18.27777777777778,12.0,18.074186525816973,13.515151515151516,11.0,11.941906271106236
110,072,18.533333333333335,10.0,20.351220763481752,3.996153846153846,3.0,2.9320478023383245,3.896153846153846,3.0,2.7795762695373507
144,073,19.311653116531165,10.0,23.65675854683563,4.0013550135501355,3.0,2.5939598572111446,3.2560975609756095,3.0,1.9191944689729181
151,074,36.852130325814535,16.0,44.851414407763905,24.55639097744361,14.0,25.879291324444665,17.67669172932331,12.0,16.48376968624642
103,075,36.454887218045116,16.0,44.42703512911565,22.155388471177943,14.0,22.602137667458308,16.220551378446114,12.0,14.701939669970926
29,076,35.833333333333336,15.0,44.396928174736566,21.09090909090909,13.0,21.60434516818226,15.477272727272727,12.0,13.993749322916669
54,077,27.588383838383837,14.0,32.05620485093958,9.784090909090908,7.0,7.836999311707244,7.638888888888889,6.0,5.541559135419879
153,078,34.76893939393939,15.0,43.46585209381707,18.27777777777778,12.0,18.074186525816973,17.732323232323232,12.0,17.24220458261762
114,079,18.533333333333335,10.0,20.351220763481752,3.996153846153846,3.0,2.9320478023383245,3.996153846153846,3.0,2.9320478023383245
3,080,19.311653116531165,10.0,23.65675854683563,4.0013550135501355,3.0,2.5939598572111446,4.0,3.0,2.588462030861243
26,081,36.852130325814535,16.0,44.851414407763905,24.55639097744361,14.0,25.879291324444665,23.550125313283207,14.0,24.318709202982134
125,082,36.454887218045116,16.0,44.42703512911565,22.155388471177943,14.0,22.602137667458308,21.4874686716792,14.0,21.541805950801304
112,083,35.833333333333336,15.0,44.396928174736566,21.09090909090909,13.0,21.60434516818226,20.247474747474747,13.0,20.24125960329691
48,084,27.588383838383837,14.0,32.05620485093958,9.784090909090908,7.0,7.836999311707244,9.772727272727273,7.0,7.8144644409890835
121,085,39.06483790523691,17.0,48.40686165428552,2.571072319201995,2.0,1.964239878269105,1.0,1.0,0.0
84,086,39.06483790523691,17.0,48.40686165428552,2.598503740648379,2.0,1.9732031933023013,1.2069825436408979,1.0,0.4053957203547064
133,087,39.06483790523691,17.0,48.40686165428552,2.733167082294264,2.0,2.218663811425371,1.1932668329177056,1.0,0.5181399086309116
4,088,39.06483790523691,17.0,48.40686165428552,2.7531172069825436,2.0,2.2444597366273924,1.0037406483790523,1.0,0.061084436913482754
65,089,39.06483790523691,17.0,48.40686165428552,2.7531172069825436,2.0,2.2444597366273924,1.0,1.0,0.0
6,090,39.06483790523691,17.0,48.40686165428552,2.7531172069825436,2.0,2.2444597366273924,1.0,1.0,0.0
138,091,39.06483790523691,17.0,48.40686165428552,2.7531172069825436,2.0,2.2444597366273924,1.1633416458852868,1.0,0.3699077801007442
19,092,39.06483790523691,17.0,48.40686165428552,2.571072319201995,2.0,1.964239878269105,1.0199501246882794,1.0,0.13991614219837117
67,093,39.06483790523691,17.0,48.40686165428552,2.598503740648379,2.0,1.9732031933023013,1.6596009975062345,1.0,0.9022589713241059
1,094,39.06483790523691,17.0,48.40686165428552,2.733167082294264,2.0,2.218663811425371,1.2306733167082293,1.0,0.5408707046164837
60,095,39.06483790523691,17.0,48.40686165428552,2.7531172069825436,2.0,2.2444597366273924,1.0623441396508728,1.0,0.24703685405773373
13,096,39.06483790523691,17.0,48.40686165428552,2.7531172069825436,2.0,2.2444597366273924,1.0299251870324189,1.0,0.17048727811490408
115,097,39.06483790523691,17.0,48.40686165428552,2.7531172069825436,2.0,2.2444597366273924,1.0187032418952617,1.0,0.13555937365130055
164,098,39.06483790523691,17.0,48.40686165428552,2.7531172069825436,2.0,2.2444597366273924,1.339152119700748,1.0,0.6454978272585441
49,099,39.06483790523691,17.0,48.40686165428552,2.571072319201995,2.0,1.964239878269105,1.1571072319201996,1.0,0.374273309674428
2,100,39.06483790523691,17.0,48.40686165428552,2.598503740648379,2.0,1.9732031933023013,2.1870324189526182,2.0,1.3955275167956083
20,101,39.06483790523691,17.0,48.40686165428552,2.733167082294264,2.0,2.218663811425371,1.6271820448877805,1.0,0.943819789225486
74,102,39.06483790523691,17.0,48.40686165428552,2.7531172069825436,2.0,2.2444597366273924,1.2942643391521198,1.0,0.6226615338351785
69,103,39.06483790523691,17.0,48.40686165428552,2.7531172069825436,2.0,2.2444597366273924,1.3079800498753118,1.0,0.6349466222326422
79,104,39.06483790523691,17.0,48.40686165428552,2.7531172069825436,2.0,2.2444597366273924,1.226932668329177,1.0,0.5458940534189437
83,105,39.06483790523691,17.0,48.40686165428552,2.7531172069825436,2.0,2.2444597366273924,2.172069825436409,2.0,1.4405637525655406
163,106,39.06483790523691,17.0,48.40686165428552,2.571072319201995,2.0,1.964239878269105,1.4613466334164589,1.0,0.8877736223493091
17,107,39.06483790523691,17.0,48.40686165428552,2.598503740648379,2.0,1.9732031933023013,2.516209476309227,2.0,1.8482671564624804
113,108,39.06483790523691,17.0,48.40686165428552,2.733167082294264,2.0,2.218663811425371,2.4526184538653366,2.0,1.8632055597440869
55,109,39.06483790523691,17.0,48.40686165428552,2.7531172069825436,2.0,2.2444597366273924,2.1109725685785534,2.0,1.3064343987349265
76,110,39.06483790523691,17.0,48.40686165428552,2.7531172069825436,2.0,2.2444597366273924,2.0,2.0,1.180363684194957
118,111,39.06483790523691,17.0,48.40686165428552,2.7531172069825436,2.0,2.2444597366273924,1.685785536159601,1.0,0.9538789690159127
16,112,39.06483790523691,17.0,48.40686165428552,2.7531172069825436,2.0,2.2444597366273924,2.6945137157107233,2.0,2.138218850029886
45,113,38.28035043804756,17.0,46.640861127278534,6.478097622027534,3.0,6.824268090639036,1.200250312891114,1.0,0.45328092438664264
42,114,38.264080100125156,17.0,46.645241399704254,5.958698372966208,3.0,5.868401968341974,2.0413016270337923,1.0,1.3234140962147887
145,115,38.24530663329161,17.0,46.63603434172603,4.5969962453066335,3.0,3.8349783096289123,1.4643304130162704,1.0,0.8988529426413099
68,116,38.28035043804756,17.0,46.640861127278534,6.478097622027534,3.0,6.824268090639036,1.2227784730913642,1.0,0.5711807141858135
166,117,38.28035043804756,17.0,46.640861127278534,6.478097622027534,3.0,6.824268090639036,1.2215269086357947,1.0,0.47990931836020106
40,118,38.28035043804756,17.0,46.640861127278534,6.478097622027534,3.0,6.824268090639036,1.246558197747184,1.0,0.6512259838257227
27,119,38.264080100125156,17.0,46.645241399704254,6.41927409261577,3.0,6.692357439195252,1.8673341677096371,1.0,1.3891530306550002
63,120,38.28035043804756,17.0,46.640861127278534,6.478097622027534,3.0,6.824268090639036,1.5569461827284106,1.0,1.162897033116604
70,121,38.264080100125156,17.0,46.645241399704254,5.958698372966208,3.0,5.868401968341974,2.6996245306633293,2.0,1.9734801541937255
